"","PROVINCE","CITY","COUNTY","TOWN","COUNTRY","GB","XZ","CUN","BH","DQ","A21","A22","A23","A24","A25","A31","A32","A331","A332","A333","A334","A335","A336","A337","A1A1","A2A1","A3A1","A4A1","A5A1","A6A1","A1A2","A2A2","A3A2","A4A2","A5A2","A6A2","A1A3","A2A3","A3A3","A4A3","A5A3","A6A3","A1A4","A2A4","A3A4","A4A4","A5A4","A6A4","A1A5","A2A5","A3A5","A4A5","A5A5","A6A5","A1A6","A2A6","A3A6","A4A6","A5A6","A6A6","A1A7","A2A7","A3A7","A4A7","A5A7","A6A7","A1A8","A2A8","A3A8","A4A8","A5A8","A6A8","A1A9","A2A9","A3A9","A4A9","A5A9","A6A9","A1A10","A2A10","A3A10","A4A10","A5A10","A6A10","A1A11","A2A11","A3A11","A4A11","A5A11","A6A11","A1A12","A2A12","A3A12","A4A12","A5A12","A6A12","A1A13","A2A13","A3A13","A4A13","A5A13","A6A13","A1A14","A2A14","A3A14","A4A14","A5A14","A6A14","A1A15","A2A15","A3A15","A4A15","A5A15","A6A15","A1A16","A2A16","A3A16","A4A16","A5A16","A6A16","A1A17","A2A17","A3A17","A4A17","A5A17","A6A17","A1A18","A2A18","A3A18","A4A18","A5A18","A6A18","A1A19","A2A19","A3A19","A4A19","A5A19","A6A19","A1A20","A2A20","A3A20","A4A20","A5A20","A6A20","A1A21","A2A21","A3A21","A4A21","A5A21","A6A21","A1A22","A2A22","A3A22","A4A22","A5A22","A6A22","A41","A42","A43","A44","A451","A452","A453","A454","A455","A456","A457","A458","A459","A46","A47","A48","A491","A492","A493","A494","A495","A410","A411","A412","A413","A414","A415","A416","A417","A418","A419","A51","A52","A53","A54","A55","A56","A57","A58","A591","A592","A593","A594","A595","A596","A597","A598","A599","A5910","A510","A511","A512","A5131","A5132","A5133","A5134","A5135","A5136","A514","A515","A516","A517","A518","A61","A62","A631","A632","A633","A634","A635","A636","A637","A638","A639","A64","A65","A66","A671","A672","A673","A674","A675","A681","A682","A683","A684","A685","A686","A687","A688","A689","A6810","A6811","A6812","A6813","A6814","A69","A7","A8"
"466","甘肃","甘南州","迭部","多儿","洋布",623024,4,22,NA,"2","3","1","1","1","9000","2","2","87","2","2010/06/02","1","2","1","1","","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,"17","","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2",NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","10","张虎林","2016/12/22"
"467","甘肃","甘南州","迭部","多儿","洋布",623024,4,22,NA,"2","1","1","1","1","10000","2","2","88","2","2012/09/07","1","2","1","1","2012/09/07","2012/09/07",1,NA,NA,NA,"2012/09/07","2012/09/07",1,1,NA,NA,"2012/10/29","2012/10/29",1,NA,NA,NA,"2013/03/28","2013/03/28",1,NA,NA,NA,"2012/11/25","2012/11/25",1,NA,NA,NA,"2012/12/25","2012/12/25",1,NA,NA,NA,"2013/01/25","2013/01/25",1,NA,NA,NA,"2016/09/30","2016/09/30",1,NA,NA,NA,"2012/11/25","2012/11/25",1,NA,NA,NA,"2012/12/05","2012/12/05",1,NA,NA,NA,"2013/01/25","2013/01/25",1,NA,NA,NA,"2014/05/25","2014/05/25",1,NA,NA,NA,"2013/05/25","2013/05/25",1,1,NA,"","2014/04/25","2014/04/25",1,2,NA,NA,"2013/03/27","2013/03/27",1,NA,NA,NA,"2013/06/27","2013/06/27",1,NA,NA,NA,"2015/09/28","2015/09/28",1,NA,NA,NA,"","",NA,NA,NA,NA,"2013/05/28","2013/05/28",1,NA,NA,NA,"2014/09/25","2014/09/25",1,NA,NA,NA,"2014/03/25","2014/03/25",1,NA,NA,NA,"","",NA,NA,NA,NA,"2","1","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2",NA,"2","1",NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2",NA,"2","2","2","1","2","2","2","2","2","2","2",NA,"1","1","2","1","1","1","1",NA,"2","2","2","2","2","2","2","2","2","1","2","2","2","2","10","张虎林","2016/12/22"
"468","甘肃","甘南州","迭部","多儿","洋布",623024,4,22,NA,"2","2","2","4","2","10000","2","1","89","2","2012/04/24","1","2","1","1","2012/04/24","2012/04/24",1,NA,NA,NA,"2012/04/24","2012/04/24",1,1,NA,NA,"2012/05/27","2012/05/27",1,NA,NA,NA,"2012/10/29","2012/10/29",1,NA,NA,NA,"2012/06/25","2012/06/25",1,NA,NA,NA,"2012/07/25","2012/07/25",1,NA,NA,NA,"2012/08/25","2012/08/25",1,NA,NA,NA,"2016/09/30","2016/09/30",1,NA,NA,NA,"2012/01/25","2012/01/25",1,NA,NA,NA,"2012/07/25","2012/07/25",1,NA,NA,NA,"2012/08/25","2012/08/25",1,NA,NA,NA,"2013/11/25","2013/11/25",1,NA,NA,NA,"2012/12/25","2012/12/25",1,1,NA,"","2013/10/30","2013/10/30",1,1,NA,NA,"2012/12/25","2012/12/25",1,NA,NA,NA,"2013/03/27","2013/03/27",1,NA,NA,NA,"2015/04/28","2015/04/28",1,NA,NA,NA,"","",NA,NA,NA,NA,"2012/12/25","2012/12/25",1,NA,NA,NA,"2014/04/25","2014/04/25",1,NA,NA,NA,"2013/09/25","2013/09/25",1,NA,NA,NA,"","",NA,NA,NA,NA,"1","2","2","2","1","1","1","1","1","2","2","2","2","1","1","3","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2",NA,"2","1",NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2",NA,"1","2","2","2","1","1","1",NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","10","张虎林","2016/12/22"
"469","甘肃","甘南州","迭部","多儿","洋布",623024,4,22,NA,"2","3","1","1","1","10000","2","2","90","2","2013/09/21","1","2","1","1","2013/09/21","2013/09/21",1,NA,NA,NA,"2013/09/21","2013/09/21",1,1,NA,NA,"2013/10/25","2013/10/25",1,NA,NA,NA,"2014/03/25","2014/03/25",1,NA,NA,NA,"2013/11/25","2013/11/25",1,NA,NA,NA,"2013/12/25","2013/12/25",1,NA,NA,NA,"2014/01/25","2014/01/25",1,NA,NA,NA,"","",NA,NA,NA,NA,"2013/12/25","2013/12/25",1,NA,NA,NA,"2014/01/25","2014/01/25",1,NA,NA,NA,"2014/02/25","2014/02/25",1,NA,NA,NA,"2015/03/28","2015/03/28",1,NA,NA,NA,"2014/05/25","2014/05/25",1,1,NA,"","2015/03/25","2015/03/25",1,2,NA,NA,"2014/03/25","2014/03/25",1,NA,NA,NA,"2014/06/25","2014/06/25",1,NA,NA,NA,"2016/09/03","2016/09/03",1,NA,NA,NA,"","",NA,NA,NA,NA,"2014/05/26","2014/05/26",1,NA,NA,NA,"2015/10/25","2015/10/25",1,NA,NA,NA,"2015/03/28","2015/03/28",1,NA,NA,NA,"","",NA,NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","3","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2",NA,"2","1",NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2",NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","10","张虎林","2016/12/22"
"470","甘肃","甘南州","迭部","多儿","洋布",623024,4,22,NA,"2","3","1","1","1","10000","2","2","91","2","2012/11/02","1","2","4","2","","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,"17","","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2",NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","10","张虎林","2016/12/22"
"471","甘肃","甘南州","迭部","多儿","洋布",623024,4,22,NA,"2","3","1","1","1","7000","2","2","92","2","2014/08/22","1","2","4","2","","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,"17","","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2",NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","10","张虎林","2016/12/22"
"472","甘肃","甘南州","迭部","多儿","洋布",623024,4,22,NA,"2","2","2","3","2","8000","1","2","93","2","2010/05/26","1","2","1","1","2010/05/27","2010/05/27",1,NA,NA,NA,"2010/05/27","2010/05/27",1,NA,NA,NA,"2010/06/28","2010/06/28",1,NA,NA,NA,"2010/11/25","2010/11/25",1,NA,NA,NA,"2010/07/30","2010/07/30",1,NA,NA,NA,"2010/08/28","2010/08/28",1,NA,NA,NA,"2010/09/26","2010/09/26",1,NA,NA,NA,"2014/01/06","2014/01/06",1,NA,NA,NA,"2010/08/28","2010/08/28",1,NA,NA,NA,"2010/09/26","2010/09/26",1,NA,NA,NA,"2010/10/27","2010/10/27",1,NA,NA,NA,"2012/05/27","2012/05/27",1,NA,NA,NA,"2011/01/26","2011/01/26",1,1,NA,"","2011/10/26","2011/10/26",1,2,NA,NA,"2010/10/25","2010/10/25",1,NA,NA,NA,"2011/02/27","2011/02/27",1,NA,NA,NA,"2013/05/27","2013/05/27",1,NA,NA,NA,"2016/06/23","2016/06/23",1,NA,NA,NA,"2011/10/26","2011/10/26",1,NA,NA,NA,"2012/05/27","2012/05/27",1,NA,NA,NA,"2011/10/21","2011/10/21",1,NA,NA,NA,"","",NA,NA,NA,18,"2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","3","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2",NA,"1",NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2",NA,"1","1","2","1","1","1","1",NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","10","张虎林","2016/12/22"
"473","甘肃","甘南州","迭部","多儿","洋布",623024,4,22,NA,"2","1","1","1","1","10000","2","2","94","2","2015/06/11","1","2","1","1","2015/06/11","2015/06/11",1,NA,NA,NA,"2015/06/11","2015/06/11",1,1,NA,NA,"2015/07/25","2015/07/25",1,NA,NA,NA,"2015/12/25","2015/12/25",1,NA,NA,NA,"2015/08/25","2015/08/25",1,NA,NA,NA,"2015/09/25","2015/09/25",1,NA,NA,NA,"2015/10/25","2015/10/25",1,NA,NA,NA,"","",NA,NA,NA,NA,"2015/09/29","2015/09/29",1,NA,NA,NA,"2015/10/25","2015/10/25",1,NA,NA,NA,"2015/12/25","2015/12/25",1,NA,NA,NA,"","",NA,NA,NA,NA,"2016/03/08","2016/03/08",1,1,NA,"","","",NA,NA,NA,NA,"2015/12/25","2015/12/25",1,NA,NA,NA,"2016/04/08","2016/04/08",1,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"2016/05/12","2016/05/12",1,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"2","1","1","1","2","2","2","2","2","2","2","2","2","1","1","3","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2",NA,"1",NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","22","1","2","2","2","2","2","2","2","2","1","2","2","2","2","10","张虎林","2016/12/22"
"474","甘肃","甘南州","迭部","多儿","洋布",623024,0,22,NA,"2","1","1","1","1","10000","1","2","95","2","2011/07/15","1","2","4","2","","",NA,NA,NA,21,"","",NA,NA,NA,21,"","",NA,NA,NA,21,"","",NA,NA,NA,21,"","",NA,NA,NA,21,"","",NA,NA,NA,21,"","",NA,NA,NA,21,"","",NA,NA,NA,21,"","",NA,NA,NA,21,"","",NA,NA,NA,21,"","",NA,NA,NA,21,"","",NA,NA,NA,21,"","",NA,NA,NA,"21","","",NA,NA,NA,21,"","",NA,NA,NA,21,"","",NA,NA,NA,21,"","",NA,NA,NA,21,"","",NA,NA,NA,21,"","",NA,NA,NA,21,"","",NA,NA,NA,21,"","",NA,NA,NA,21,"","",NA,NA,NA,21,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2",NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","10","张虎林","2016/12/22"
"475","甘肃","甘南州","迭部","多儿","在力傲",623024,4,23,NA,"2","4","1","1","1","5000","2","2","96","2","2015/02/17","1","2","1","1","2015/02/17","2015/02/17",1,NA,NA,NA,"2015/02/17","2015/02/17",1,1,NA,NA,"2015/03/28","2015/03/28",1,NA,NA,NA,"2015/08/25","2015/08/25",1,NA,NA,NA,"2015/04/30","2015/04/30",1,NA,NA,NA,"2015/04/30","2015/05/28",1,NA,NA,NA,"2015/08/25","2015/08/25",1,NA,NA,NA,"2015/10/01","2015/10/01",1,NA,NA,NA,"2015/05/28","2015/05/28",1,NA,NA,NA,"2015/06/25","2015/06/25",1,NA,NA,NA,"2015/07/25","2015/07/25",1,NA,NA,NA,"2016/08/30","2016/08/30",1,NA,NA,NA,"2016/01/28","2016/01/28",1,2,NA,"","","",NA,NA,NA,NA,"2015/08/25","2015/08/25",1,NA,NA,NA,"2015/11/25","2015/11/25",1,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"2015/01/25","2015/01/25",1,NA,NA,NA,"","",NA,NA,NA,NA,"","2016/09/30",1,NA,NA,NA,"","",NA,NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2",NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","10","冯广渊","2016/12/22"
"476","甘肃","甘南州","迭部","多儿","在力傲",623024,4,23,NA,"2","3","1","1","1","20000","2","2","97","2","2014/12/31","1","2","1","1","","2014/12/31",1,NA,NA,NA,"","2014/12/31",1,1,NA,NA,"","2015/01/31",1,NA,NA,NA,"","2015/06/25",1,NA,NA,NA,"","2015/02/28",1,NA,NA,NA,"","2015/03/24",1,NA,NA,NA,"","2015/04/30",1,NA,NA,NA,"","",NA,NA,NA,NA,"","2015/03/28",1,NA,NA,NA,"","2015/04/30",1,NA,NA,NA,"","2015/05/28",1,NA,NA,NA,"","2016/06/25",1,NA,NA,NA,"","2015/09/25",2,1,NA,"","","2016/10/02",1,2,NA,NA,"","2015/06/25",1,NA,NA,NA,"","2015/09/25",1,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"","2015/12/25",2,NA,NA,NA,"","",NA,NA,NA,NA,"","2016/08/25",1,NA,NA,NA,"","",NA,NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2",NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","10","冯广渊","2015/12/22"
"477","甘肃","甘南州","迭部","多儿","在力傲",623024,4,23,NA,"2","1","1","4","1","10000","2","2","98","2","2012/03/08","1","2","4","2","","",NA,NA,NA,9,"","",NA,NA,NA,9,"","",NA,NA,NA,9,"","",NA,NA,NA,9,"","",NA,NA,NA,9,"","",NA,NA,NA,9,"","",NA,NA,NA,9,"","",NA,NA,NA,9,"","",NA,NA,NA,9,"","",NA,NA,NA,9,"","",NA,NA,NA,9,"","",NA,NA,NA,9,"","",NA,NA,NA,"9","","",NA,NA,NA,9,"","",NA,NA,NA,9,"","",NA,NA,NA,9,"","",NA,NA,NA,9,"","",NA,NA,NA,9,"","",NA,NA,NA,9,"","",NA,NA,NA,9,"","",NA,NA,NA,9,"","",NA,NA,NA,9,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2",NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","10","冯广渊","2016/12/22"
"478","甘肃","甘南州","迭部","多儿","在力傲",623024,4,23,NA,"2","3","1","1","1","3000","2","2","99","2","2014/04/15","1","2","1","1","2014/05/15","",1,NA,NA,NA,"2014/05/15","",1,NA,NA,NA,"2014/06/25","",1,NA,NA,NA,"2014/11/25","",1,NA,NA,NA,"2014/07/25","",1,NA,NA,NA,"2014/08/25","",1,NA,NA,NA,"2014/09/24","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014/08/25","",1,NA,NA,NA,"2014/09/24","",1,NA,NA,NA,"2014/10/30","",NA,NA,NA,NA,"2014/12/25","",1,NA,NA,NA,"2015/01/31","",1,2,NA,"","2015/12/25","",1,1,NA,NA,"2014/11/25","",1,NA,NA,NA,"2015/02/28","",1,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"2016/01/31","",1,NA,NA,NA,"2016/07/30","",1,NA,NA,NA,"2015/12/25","",1,NA,NA,NA,"","",NA,NA,NA,NA,"2","1","1","1","2","2","2","2","2","2","2","2","2","1","1","3","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2",NA,"1",NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","10","冯广渊","2016/12/22"
"479","甘肃","甘南州","迭部","多儿","在力 傲",623024,4,23,NA,"2","3","1","1","1","3000","2","2","100","2","2013/02/07","1","2","4","2","","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,"17","","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"","",NA,NA,NA,17,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2",NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","10","冯广渊","2016/12/22"
"480","甘肃","甘南州","迭部","旺藏","亚日",623024,3,17,NA,"2","1","1","4","1","4000","1","2","161","2","2015/10/31","1","2","1","1","","2015/10/31",1,NA,NA,NA,"","2015/10/31",1,1,NA,NA,"","2015/11/30",1,NA,NA,NA,"","2016/04/08",1,NA,NA,NA,"","2016/01/30",1,NA,NA,NA,"","2016/04/08",1,NA,NA,NA,"","2016/07/12",1,NA,NA,NA,"","",NA,NA,NA,NA,"","2016/01/30",1,NA,NA,NA,"","2016/04/08",1,NA,NA,NA,"","2016/07/12",1,NA,NA,NA,"","",NA,NA,NA,NA,"","2016/07/12",1,NA,NA,"","","",NA,NA,NA,NA,"","2016/05/16",1,NA,NA,NA,"","2016/08/12",NA,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"","2016/08/12",1,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"2","1","1","1","2","2","2","2","2","2","2","2","2","1","1","3","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2",NA,"1",NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2",NA,"1","1","1","1","1","1","1",NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","10","冯广渊","2016/12/22"
"481","甘肃","甘南州","迭部","旺藏","亚日",623024,3,17,NA,"2","3","1","1","1","3000","2","2","162","2","2010/09/03","1","2","1","1","","2010/09/16",2,NA,NA,NA,"","2010/09/16",2,NA,NA,NA,"","2010/10/27",2,NA,NA,NA,"","2011/03/28",2,NA,NA,NA,"","2010/11/30",2,NA,NA,NA,"","2011/03/28",2,NA,NA,NA,"","2011/04/29",2,NA,NA,NA,"","2014/09/26",2,NA,NA,NA,"","2011/03/28",2,NA,NA,NA,"","2011/04/29",2,NA,NA,NA,"","2011/05/30",2,NA,NA,NA,"","2012/03/31",2,NA,NA,NA,"","2011/05/30",2,1,NA,"","","2012/02/28",2,NA,NA,NA,"","2011/04/29",2,NA,NA,NA,"","2011/07/29",2,NA,NA,NA,"","2013/09/27",2,NA,NA,NA,"","2016/09/12",2,NA,NA,NA,"","2011/05/30",2,NA,NA,NA,"","2012/10/30",2,NA,NA,NA,"","2012/05/29",2,NA,NA,NA,"","",NA,NA,NA,4,"2","1","1","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2",NA,"1",NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","10","冯广渊","2016/12/23"
"482","甘肃","甘南州","迭部","旺藏","亚日",623024,3,17,NA,"2","3","1","4","1","10000","1","2","163","2","2011/12/22","1","2","2","1","","2012/02/28",1,NA,NA,NA,"","2012/02/28",1,2,NA,NA,"","2012/03/31",1,NA,NA,NA,"","2012/06/29",1,NA,NA,NA,"","2012/02/28",1,NA,NA,NA,"","2012/03/31",1,NA,NA,NA,"","2012/05/29",1,NA,NA,NA,"","2015/12/29",1,NA,NA,NA,"","2012/03/31",1,NA,NA,NA,"","2012/05/29",1,NA,NA,NA,"","2012/08/28",1,NA,NA,NA,"","2013/09/27",1,NA,NA,NA,"","2012/08/28",1,1,NA,"","","2013/12/26",1,2,NA,NA,"","2012/08/28",1,NA,NA,NA,"","2012/11/30",1,NA,NA,NA,"","2014/12/30",1,NA,NA,NA,"","",NA,NA,NA,NA,"","2012/10/30",1,NA,NA,NA,"","",NA,NA,NA,17,"","2013/09/27",1,NA,NA,NA,"","",NA,NA,NA,NA,"2","1","1","2","2","2","2","2","2","2","2","2","2","1","1","3","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2",NA,"2","2",NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","10","冯广渊","2016/12/23"
"483","甘肃","甘南州","迭部","旺藏","亚日",623024,3,17,NA,"2","3","1","1","1","10000","1","2","164","2","2013/06/22","1","2","1","1","","2013/06/23",2,NA,NA,NA,"","2013/06/23",2,1,NA,NA,"","2013/09/27",2,NA,NA,NA,"","2014/02/26",2,NA,NA,NA,"","2013/09/27",2,NA,NA,NA,"","2013/12/26",2,NA,NA,NA,"","2014/02/26",2,NA,NA,NA,"","",NA,NA,NA,NA,"","2013/09/27",2,NA,NA,NA,"","2013/12/26",2,NA,NA,NA,"","2014/02/26",2,NA,NA,NA,"","2015/04/30",2,NA,NA,NA,"","2014/06/28",2,2,NA,"","","2014/12/30",2,1,NA,NA,"","2013/12/26",2,NA,NA,NA,"","2014/05/25",2,NA,NA,NA,"","2016/08/08",2,NA,NA,NA,"","",NA,NA,NA,NA,"","2014/05/25",2,NA,NA,NA,"","2015/08/26",2,NA,NA,NA,"","2014/12/30",2,NA,NA,NA,"","",NA,NA,NA,NA,"2","1","1","1","2","2","2","2","2","2","2","2","2","1","1","3","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2",NA,"1",NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","10","冯广渊","2016/12/23"
